Name of the show,Year of release,Language,IMDb rating,Age of viewers,platform,type,tconst,runtimeMinutes,genres
The Marvelous Mrs. Maisel,2017,English,8.7,16+,Amazon Prime,TV Show,tt5788792,57,"Comedy,Drama"
Fleabag,2016,English,8.7,18+,Amazon Prime,TV Show,tt5687612,27,"Comedy,Drama"
Made in Heaven,2019,Hindi,8.3,18+,Amazon Prime,TV Show,tt6494622,50,"Drama,Romance"
Homecoming,2018,English,7.5,16+,Amazon Prime,TV Show,tt0116550,105,"Drama,Family"
Modern Love,2019,English,8.0,16+,Amazon Prime,TV Show,tt8543390,32,"Comedy,Romance"
Inside Edge,2017,Hindi,8.0,18+,Amazon Prime,TV Show,tt6112414,45,"Drama,Sport"
The Boys,2019,English,8.7,18+,Amazon Prime,TV Show,tt1190634,60,"Action,Crime,Drama"
Hanna,2019,English,7.5,16+,Amazon Prime,TV Show,tt6932244,60,"Action,Drama"
Hunters,2020,English,7.2,18+,Amazon Prime,TV Show,tt7456722,60,"Crime,Drama,Mystery"
Tom Clancy's Jack Ryan,2018,English,8.1,16+,Amazon Prime,TV Show,tt5057054,60,"Action,Drama,Thriller"
Tales from the Loop,2020,English,7.5,18+,Amazon Prime,TV Show,tt8741290,50,"Drama,Sci-Fi"
The Man in the High Castle,2015,English,8.0,18+,Amazon Prime,TV Show,tt1740299,60,"Drama,Sci-Fi,Thriller"
Undone,2019,English,8.2,16+,Amazon Prime,TV Show,tt8101850,23,"Animation,Drama,Fantasy"
The Tick,2018,English,7.4,16+,Amazon Prime,TV Show,tt5540054,29,"Action,Adventure,Comedy"
Grey's Anatomy,2005,English,7.6,16+,Amazon Prime,TV Show,tt3613330,\N,"Comedy,Drama"
The Mentalist,2009,English,8.1,16+,Amazon Prime,TV Show,tt1196946,43,"Crime,Drama,Mystery"
The Vampire Diaries,2010,English,7.7,16+,Amazon Prime,TV Show,tt1405406,43,"Drama,Fantasy,Horror"
Mr. Robot,2015,English,8.5,18+,Amazon Prime,TV Show,tt4158110,49,"Crime,Drama,Thriller"
Supernatural,2006,English,8.4,16+,Amazon Prime,TV Show,tt0349166,100,"Action,Adventure,Drama"
Dexter,2006,English,8.6,18+,Amazon Prime,TV Show,tt0773262,53,"Crime,Drama,Mystery"
Blindspot,2016,English,7.4,16+,Amazon Prime,TV Show,tt4474344,42,"Action,Crime,Drama"
The Good Wife,2010,English,8.3,16+,Amazon Prime,TV Show,tt1442462,43,"Crime,Drama,Mystery"
The Night Manager,2016,English,8.1,18+,Amazon Prime,TV Show,tt1399664,358,"Crime,Drama,Mystery"
The Originals,2014,English,8.2,16+,Amazon Prime,TV Show,tt2632424,45,"Drama,Fantasy,Horror"
The Last Ship,2014,English,7.5,16+,Amazon Prime,TV Show,tt2402207,60,"Action,Drama,Sci-Fi"
Treadstone,2019,English,7.0,16+,Amazon Prime,TV Show,tt8289480,44,Action
Fringe,2009,English,8.4,16+,Amazon Prime,TV Show,tt1119644,46,"Drama,Mystery,Sci-Fi"
Person of Interest,2012,English,8.4,16+,Amazon Prime,TV Show,tt1839578,43,"Action,Crime,Drama"
The Widow,2019,English,6.9,16+,Amazon Prime,TV Show,tt7459986,60,"Action,Drama,Mystery"
Fear the Walking Dead,2015,English,6.9,16+,Amazon Prime,TV Show,tt3743822,44,"Drama,Horror,Sci-Fi"
Bosch,2015,English,8.4,18+,Amazon Prime,TV Show,tt3502248,51,"Crime,Drama"
Elementary,2013,English,7.9,16+,Amazon Prime,TV Show,tt2191671,60,"Crime,Drama,Mystery"
Beauty and the Beast,2013,English,7.1,16+,Amazon Prime,TV Show,tt2193041,60,"Drama,Horror,Romance"
NCIS,2004,English,7.8,16+,Amazon Prime,TV Show,tt4259148,\N,"Comedy,Talk-Show"
Into the Badlands,2015,English,8.0,16+,Amazon Prime,TV Show,tt3865236,42,"Action,Adventure,Drama"
Bang Baaja Baaraat,2015,Hindi,8.0,18+,Amazon Prime,TV Show,tt5145742,20,Comedy
Absentia,2018,English,7.3,16+,Amazon Prime,TV Show,tt6794990,60,"Crime,Drama,Mystery"
Extant,2014,English,6.6,16+,Amazon Prime,TV Show,tt3155320,42,"Drama,Sci-Fi,Thriller"
Lethal Weapon,2017,English,7.9,16+,Amazon Prime,TV Show,tt5164196,44,"Action,Comedy,Crime"
Blue Bloods,2011,English,7.6,16+,Amazon Prime,TV Show,tt1595859,43,"Crime,Drama,Mystery"
Patriot,2017,English,8.3,18+,Amazon Prime,TV Show,tt4687882,58,"Comedy,Drama,Thriller"
Mad Men,2007,English,8.6,16+,Amazon Prime,TV Show,tt0804503,47,Drama
Major Crimes,2012,English,7.7,16+,Amazon Prime,TV Show,tt1936532,43,"Action,Crime,Drama"
Famous in Love,2017,English,6.9,All,Amazon Prime,TV Show,tt4578474,42,"Drama,Romance"
Hawaii Five-O,2011,English,7.3,16+,Amazon Prime,TV Show,tt0062568,60,"Crime,Drama,Mystery"
Penny Dreadful,2014,English,8.2,All,Amazon Prime,TV Show,tt2628232,60,"Drama,Fantasy,Horror"
Preacher,2016,English,8.0,18+,Amazon Prime,TV Show,tt5016504,60,"Adventure,Drama,Fantasy"
House of Lies,2012,English,7.4,18+,Amazon Prime,TV Show,tt1797404,28,"Comedy,Drama"
Dance Academy,2010,English,8.1,7+,Amazon Prime,TV Show,tt1551948,24,"Drama,Family,Music"
Mozart in the Jungle,2014,English,8.2,18+,Amazon Prime,TV Show,tt4295194,\N,"Documentary,Talk-Show"
The Romanoffs,2018,English,7.0,16+,Amazon Prime,TV Show,tt6599482,60,Drama
Ray Donovan,2013,English,8.3,All,Amazon Prime,TV Show,tt2249007,60,"Crime,Drama"
Training Day,2017,English,6.0,16+,Amazon Prime,TV Show,tt4946972,42,"Action,Crime,Drama"
Guilt,2016,English,6.0,All,Amazon Prime,TV Show,tt5376862,60,"Crime,Drama,Mystery"
Good Girls Revolt,2016,English,8.2,18+,Amazon Prime,TV Show,tt4687892,55,Drama
Hand of God,2015,English,7.5,18+,Amazon Prime,TV Show,tt3973768,60,"Crime,Drama"
Time After Time,2017,English,6.7,16+,Amazon Prime,TV Show,tt0108960,30,"Comedy,Crime"
Life,2007,English,8.3,All,Amazon Prime,TV Show,tt0874936,45,"Crime,Drama,Mystery"
Lore,2017,English,6.7,16+,Amazon Prime,TV Show,tt6130902,40,"Documentary,Horror,Mystery"
The Last Tycoon,2017,English,7.7,18+,Amazon Prime,TV Show,tt3390892,61,Drama
Falling Water,2016,English,6.5,16+,Amazon Prime,TV Show,tt4520992,60,"Drama,Mystery,Sci-Fi"
The Collection,2016,English,7.1,16+,Amazon Prime,TV Show,tt5239494,60,"Drama,History,Romance"
Beat,2018,English,7.4,16+,Amazon Prime,TV Show,tt0870077,6,"Drama,Short"
Feed the Beast,2016,English,6.7,16+,Amazon Prime,TV Show,tt5363766,60,"Crime,Drama"
The Path,2016,English,7.3,18+,Amazon Prime,TV Show,tt13469990,\N,Crime
Lorena,2019,English,7.2,16+,Amazon Prime,TV Show,tt9134666,254,"Crime,Documentary"
Constantine,2015,English,7.5,16+,Amazon Prime,TV Show,tt3489184,43,"Crime,Drama,Fantasy"
Skulls and Roses,2019,Hindi,4.3,18+,Amazon Prime,TV Show,tt7983880,55,Reality-TV
Mr. Bean,1995,English,8.5,16+,Amazon Prime,TV Show,tt0096657,25,"Comedy,Family"
Two and a Half Men,2003,English,7.0,16+,Amazon Prime,TV Show,tt0369179,22,"Comedy,Romance"
Mom,2014,English,7.2,16+,Amazon Prime,TV Show,tt2660806,30,"Comedy,Drama,Romance"
Oggy and the Cockroaches,1998,Hindi,7.3,7+,Amazon Prime,TV Show,tt0213363,8,"Adventure,Animation,Comedy"
Seinfeld,1990,English,8.8,13+,Amazon Prime,TV Show,tt0098904,22,Comedy
The Mindy Project,2013,English,7.4,16+,Amazon Prime,TV Show,tt2211129,30,Comedy
Johnny Bravo,1998,English,7.2,7+,Amazon Prime,TV Show,tt0118360,30,"Adventure,Animation,Comedy"
Californication,2007,English,8.3,18+,Amazon Prime,TV Show,tt0904208,28,"Comedy,Drama"
Sigmund and the Sea Monsters,2017,English,6.9,All,Amazon Prime,TV Show,tt0069632,30,"Comedy,Family"
Anger Management,2012,English,6.6,13+,Amazon Prime,TV Show,tt1986770,22,"Comedy,Romance"
Forever,2018,English,7.2,16+,Amazon Prime,TV Show,tt7720790,30,"Comedy,Drama,Fantasy"
Dennis the Menace,1985,English,6.3,All,Amazon Prime,TV Show,tt0166910,30,"Animation,Comedy,Family"
Trial and Error,2017,English,8.0,13+,Amazon Prime,TV Show,tt0747586,\N,"Drama,Sport"
Man's World,2015,Hindi,7.3,13+,Amazon Prime,TV Show,tt5067172,\N,Comedy
Red Oaks,2015,English,7.9,18+,Amazon Prime,TV Show,tt3973820,30,"Comedy,Drama,Sport"
That Girl,1967,English,7.1,7+,Amazon Prime,TV Show,tt0060034,30,Comedy
Jim Gaffigan: Quality Time,2019,English,7.6,13+,Amazon Prime,TV Show,tt9657544,75,Comedy
Angie Tribeca,2016,English,7.0,16+,Amazon Prime,TV Show,tt3597790,30,"Action,Comedy,Crime"
The Grand Tour,2017,English,8.7,16+,Amazon Prime,TV Show,tt5712554,60,"Comedy,Talk-Show"
The Adventures of Paddington Bear,2007,English,7.1,All,Amazon Prime,TV Show,tt0314975,23,"Adventure,Animation,Family"
People of Earth,2016,English,7.7,All,Amazon Prime,TV Show,tt4695530,30,"Comedy,Mystery,Sci-Fi"
Crisis in Six Scenes,2016,English,6.6,18+,Amazon Prime,TV Show,tt4354616,23,Comedy
The Kacey Musgraves Christmas Show,2019,English,7.2,7+,Amazon Prime,TV Show,tt11225428,45,Music
The Danny Thomas Show,1958,English,7.2,All,Amazon Prime,TV Show,tt0045410,30,"Comedy,Family"
